# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
800	10 bar	1.0000	1.2500	1.902558	30.094274	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	1.758969	30.746485	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	1.758969	33.324718	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	1.914524	28.416667	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	1.998284	29.499795	RMD_Relax_800k_10atm
900	0.1 bar	-1.0000	1.1111	1.423635	35.161549	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	1.447561	35.795935	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	1.603084	33.631374	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	1.447561	35.089942	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	1.519341	36.050091	RMD_Relax_900k_0.1atm
900	0.25 bar	-0.6021	1.1111	1.519341	35.403027	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	1.483451	37.454256	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	1.519341	35.168614	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	1.495414	35.104312	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	1.567194	33.984741	RMD_Relax_900k_0.25atm
900	0.5 bar	-0.3010	1.1111	1.567194	37.643809	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	1.531304	34.692399	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	1.591121	34.569875	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	1.627011	34.535420	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	1.459525	35.598655	RMD_Relax_900k_0.5atm
900	0.75 bar	-0.1249	1.1111	1.471488	37.409279	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	1.638974	34.417707	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	1.555231	36.584318	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	1.567194	34.915550	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	1.603084	34.056093	RMD_Relax_900k_0.75atm
900	1 bar	0.0000	1.1111	1.471488	34.157031	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	1.459525	35.078695	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	1.603084	34.018912	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	1.483451	36.103712	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	1.507378	36.385619	RMD_Relax_900k_1atm
900	2.5 bar	0.3979	1.1111	1.662901	34.257113	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	1.567194	33.859274	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	1.603084	32.499852	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	1.579158	35.210749	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	1.674864	32.768656	RMD_Relax_900k_2.5atm
900	5 bar	0.6990	1.1111	1.722717	33.118722	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	1.638974	35.495789	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	1.519341	33.500913	RMD_Relax_900k_5atm
