# All individual data points from all datasets
# Note: Adsorption energy has been multiplied by -1
# Temp(K)	Pressure	log10(P/1bar)	1000/T(K^-1)	Coverage(atom/nm²)	E_ads(eV)	Folder
600	5 bar	0.6990	1.6667	4.571677	2.815109	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	4.595612	2.905266	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	4.799064	2.950955	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	4.571677	2.854654	RMD_Relax_600k_5atm
600	5 bar	0.6990	1.6667	4.679386	2.842755	RMD_Relax_600k_5atm
600	7.5 bar	0.8751	1.6667	4.679386	2.898720	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	4.571677	2.837821	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	4.451999	2.789547	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	4.607580	3.132857	RMD_Relax_600k_7.5atm
600	7.5 bar	0.8751	1.6667	4.703322	2.919326	RMD_Relax_600k_7.5atm
600	10 bar	1.0000	1.6667	4.727257	2.851151	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	4.619548	2.799546	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	4.679386	2.938698	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	4.451999	2.983374	RMD_Relax_600k_10atm
600	10 bar	1.0000	1.6667	4.571677	2.986676	RMD_Relax_600k_10atm
700	0.1 bar	-1.0000	1.4286	3.207572	2.768524	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	3.530723	2.734375	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	3.590565	2.946124	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	3.123792	2.782570	RMD_Relax_700k_0.1atm
700	0.1 bar	-1.0000	1.4286	3.770094	2.789207	RMD_Relax_700k_0.1atm
700	0.25 bar	-0.6021	1.4286	3.482848	2.878819	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	3.566628	2.781087	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	3.758125	2.938298	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	3.674345	2.694571	RMD_Relax_700k_0.25atm
700	0.25 bar	-0.6021	1.4286	3.387100	2.779019	RMD_Relax_700k_0.25atm
700	0.5 bar	-0.3010	1.4286	3.937653	2.730595	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	4.236867	2.959012	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	3.817968	2.812131	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	3.901748	2.931219	RMD_Relax_700k_0.5atm
700	0.5 bar	-0.3010	1.4286	3.853873	2.840782	RMD_Relax_700k_0.5atm
700	0.75 bar	-0.1249	1.4286	4.009465	2.871384	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	4.081276	2.912845	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	4.177024	2.951764	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	3.937653	2.861969	RMD_Relax_700k_0.75atm
700	0.75 bar	-0.1249	1.4286	4.105213	2.894120	RMD_Relax_700k_0.75atm
700	1 bar	0.0000	1.4286	4.165056	2.864823	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	4.009465	2.997371	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	4.188993	2.799986	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	3.925685	2.816313	RMD_Relax_700k_1atm
700	1 bar	0.0000	1.4286	4.320647	3.124434	RMD_Relax_700k_1atm
700	2.5 bar	0.3979	1.4286	4.380490	3.026125	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	4.380490	3.122362	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	4.488207	2.903732	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	4.464270	2.923735	RMD_Relax_700k_2.5atm
700	2.5 bar	0.3979	1.4286	4.356553	3.045488	RMD_Relax_700k_2.5atm
700	5 bar	0.6990	1.4286	4.428364	2.868520	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	4.380490	2.915064	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	4.548049	3.025552	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	4.727578	2.794167	RMD_Relax_700k_5atm
700	5 bar	0.6990	1.4286	4.344584	3.042788	RMD_Relax_700k_5atm
700	7.5 bar	0.8751	1.4286	4.571987	3.105512	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	4.667735	3.039560	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	4.464270	3.126547	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	4.560018	3.065143	RMD_Relax_700k_7.5atm
700	7.5 bar	0.8751	1.4286	4.428364	2.980113	RMD_Relax_700k_7.5atm
700	10 bar	1.0000	1.4286	4.464270	2.932369	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	4.607892	3.058021	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	4.488207	3.075328	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	4.571987	2.919932	RMD_Relax_700k_10atm
700	10 bar	1.0000	1.4286	4.667735	2.951168	RMD_Relax_700k_10atm
800	0.1 bar	-1.0000	1.2500	2.692789	2.827562	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	2.417526	2.823137	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	2.752628	2.977124	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	2.740660	2.957487	RMD_Relax_800k_0.1atm
800	0.1 bar	-1.0000	1.2500	2.836404	2.827824	RMD_Relax_800k_0.1atm
800	0.25 bar	-0.6021	1.2500	3.171507	2.753428	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	3.446769	3.085341	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	3.315122	3.028414	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	3.123635	2.947397	RMD_Relax_800k_0.25atm
800	0.25 bar	-0.6021	1.2500	3.506609	3.092646	RMD_Relax_800k_0.25atm
800	0.5 bar	-0.3010	1.2500	3.494641	2.986109	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	3.374962	2.888644	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	3.159539	2.952486	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	3.159539	2.828779	RMD_Relax_800k_0.5atm
800	0.5 bar	-0.3010	1.2500	3.422833	2.931898	RMD_Relax_800k_0.5atm
800	0.75 bar	-0.1249	1.2500	3.841712	2.924122	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	3.734000	3.056029	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	3.626289	2.853219	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	3.470705	2.913291	RMD_Relax_800k_0.75atm
800	0.75 bar	-0.1249	1.2500	3.614321	3.201317	RMD_Relax_800k_0.75atm
800	1 bar	0.0000	1.2500	3.889584	3.166916	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	3.745968	2.866240	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	3.674160	3.195153	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	3.626289	2.692483	RMD_Relax_800k_1atm
800	1 bar	0.0000	1.2500	3.554481	2.931174	RMD_Relax_800k_1atm
800	2.5 bar	0.3979	1.2500	3.853680	2.952266	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	3.889584	2.919238	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	4.105007	2.859982	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	4.236654	2.995655	RMD_Relax_800k_2.5atm
800	2.5 bar	0.3979	1.2500	3.865648	2.953104	RMD_Relax_800k_2.5atm
800	5 bar	0.6990	1.2500	4.176814	2.888040	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	4.188782	3.085671	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	4.164846	3.138952	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	3.985327	2.975924	RMD_Relax_800k_5atm
800	5 bar	0.6990	1.2500	4.212718	3.032864	RMD_Relax_800k_5atm
800	7.5 bar	0.8751	1.2500	4.236654	3.093727	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	4.368301	3.091316	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	4.236654	3.084919	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	4.272558	3.055078	RMD_Relax_800k_7.5atm
800	7.5 bar	0.8751	1.2500	4.236654	2.944731	RMD_Relax_800k_7.5atm
800	10 bar	1.0000	1.2500	4.344366	3.057718	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	4.188782	3.176341	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	4.344366	3.063981	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	4.176814	3.134646	RMD_Relax_800k_10atm
800	10 bar	1.0000	1.2500	4.284526	3.054545	RMD_Relax_800k_10atm
900	0.1 bar	-1.0000	1.1111	2.443405	2.971765	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	2.323630	2.945213	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	2.395495	2.939271	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	2.670977	2.932705	RMD_Relax_900k_0.1atm
900	0.1 bar	-1.0000	1.1111	2.371540	2.957652	RMD_Relax_900k_0.1atm
900	0.25 bar	-0.6021	1.1111	2.802729	2.737220	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	2.467360	2.917046	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	2.623067	2.909416	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	2.790751	2.962649	RMD_Relax_900k_0.25atm
900	0.25 bar	-0.6021	1.1111	2.778774	3.039393	RMD_Relax_900k_0.25atm
900	0.5 bar	-0.3010	1.1111	3.090188	2.831413	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	2.910526	2.867567	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	3.174031	3.125798	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	3.186008	2.909204	RMD_Relax_900k_0.5atm
900	0.5 bar	-0.3010	1.1111	3.233918	3.138016	RMD_Relax_900k_0.5atm
900	0.75 bar	-0.1249	1.1111	3.233918	3.048504	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	3.066233	3.017851	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	3.174031	3.071131	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	3.401603	3.148360	RMD_Relax_900k_0.75atm
900	0.75 bar	-0.1249	1.1111	3.174031	3.125929	RMD_Relax_900k_0.75atm
900	1 bar	0.0000	1.1111	3.114143	2.911042	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	3.365670	2.962395	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	3.018324	2.907119	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	3.365670	3.047230	RMD_Relax_900k_1atm
900	1 bar	0.0000	1.1111	3.186008	3.091441	RMD_Relax_900k_1atm
900	2.5 bar	0.3979	1.1111	3.820814	3.123495	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	3.461490	3.016982	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	3.581265	3.175851	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	3.677085	3.080786	RMD_Relax_900k_2.5atm
900	2.5 bar	0.3979	1.1111	3.377648	2.938567	RMD_Relax_900k_2.5atm
900	5 bar	0.6990	1.1111	4.108274	3.189527	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	3.952567	2.848093	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	4.048386	3.121293	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	3.988499	3.012362	RMD_Relax_900k_5atm
900	5 bar	0.6990	1.1111	3.940589	3.259633	RMD_Relax_900k_5atm
900	7.5 bar	0.8751	1.1111	4.144206	3.148974	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	4.060364	3.269861	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	3.976521	3.182791	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	3.952567	3.165059	RMD_Relax_900k_7.5atm
900	7.5 bar	0.8751	1.1111	4.180139	3.176854	RMD_Relax_900k_7.5atm
900	10 bar	1.0000	1.1111	4.216071	3.158172	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	4.120251	3.033754	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	4.156184	3.093560	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	4.216071	3.041599	RMD_Relax_900k_10atm
900	10 bar	1.0000	1.1111	4.084319	2.996927	RMD_Relax_900k_10atm
1000	0.1 bar	-1.0000	1.0000	1.831426	2.949902	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.867336	2.943267	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.867336	2.918168	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.843396	2.960860	RMD_Relax_1000k_0.1atm
1000	0.1 bar	-1.0000	1.0000	1.891276	3.166336	RMD_Relax_1000k_0.1atm
1000	0.25 bar	-0.6021	1.0000	2.465841	2.872865	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	2.441901	3.052299	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	2.322200	3.088632	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	2.310230	3.060414	RMD_Relax_1000k_0.25atm
1000	0.25 bar	-0.6021	1.0000	1.999007	2.863545	RMD_Relax_1000k_0.25atm
1000	0.5 bar	-0.3010	1.0000	2.453871	2.924201	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	3.016466	2.935040	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	2.441901	3.148781	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	2.585542	3.103869	RMD_Relax_1000k_0.5atm
1000	0.5 bar	-0.3010	1.0000	2.848884	3.173208	RMD_Relax_1000k_0.5atm
1000	0.75 bar	-0.1249	1.0000	2.812974	3.079912	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	2.836914	3.185181	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	2.394021	3.023217	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	2.669333	3.013425	RMD_Relax_1000k_0.75atm
1000	0.75 bar	-0.1249	1.0000	2.561602	3.009522	RMD_Relax_1000k_0.75atm
1000	1 bar	0.0000	1.0000	2.585542	2.885196	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	2.908735	3.200939	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	2.980556	2.949863	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	2.789034	3.256731	RMD_Relax_1000k_1atm
1000	1 bar	0.0000	1.0000	2.872825	2.905929	RMD_Relax_1000k_1atm
1000	2.5 bar	0.3979	1.0000	3.531180	3.036690	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	3.219958	3.114983	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	3.579061	3.275132	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	3.411479	3.152373	RMD_Relax_1000k_2.5atm
1000	2.5 bar	0.3979	1.0000	3.746642	3.146648	RMD_Relax_1000k_2.5atm
1000	5 bar	0.6990	1.0000	3.603001	3.328183	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	3.806493	3.326476	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	3.447390	3.142100	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	3.531180	3.130977	RMD_Relax_1000k_5atm
1000	5 bar	0.6990	1.0000	3.782552	3.260232	RMD_Relax_1000k_5atm
1000	7.5 bar	0.8751	1.0000	4.153626	3.055379	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	4.117715	3.201589	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	3.950134	3.235416	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	3.878313	3.257833	RMD_Relax_1000k_7.5atm
1000	7.5 bar	0.8751	1.0000	3.986044	3.216367	RMD_Relax_1000k_7.5atm
1000	10 bar	1.0000	1.0000	4.069835	3.318021	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	4.033925	3.371364	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	3.806493	3.236343	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	3.938164	3.239480	RMD_Relax_1000k_10atm
1000	10 bar	1.0000	1.0000	4.093775	3.325763	RMD_Relax_1000k_10atm
